Id,Predicted
33025022600000,692965
33053059470100,599615
33053055610000,352445
33025015390100,17030
33061031960000,729235
33053045380000,899605
33053047860000,606420
33105040050000,324330
33025025710000,891060
33053060710000,477275
33061034360000,692905
33053066930000,173700
33053053880100,778340
33105035790000,508385
33023012680000,475560
33053052320000,55970
33053038370000,354205
33105036810000,994745
33061029220000,751255
33053052690100,480620
33053054980000,804060
33023011460000,66105
33061028540000,45120
33053052150000,703845
33025023950000,11510
33061028590000,961685
33053045360000,24540
33007018020200,988680
33023013070000,617960
33105036510000,969270
33105033790000,502150
33023010630000,215615
33053057640000,219880
33025025450000,885045
33053058260000,998210
33025021970000,714095
30025415640000,169895
30025415200000,756020
30025414180100,371035
30015428890100,448330
42109326990000,681850
30015412940000,665795
42301325700000,263040
30025419270000,602310
30015425050000,834035
30015422200000,718895
30025424890000,46585
30025425160000,155570
30015429760000,174660
30015415280100,662050
30025413900000,443090
30025407710000,836055
30025413300000,316615
30025415380000,273535
30015426300000,283445
30015427360000,61455
30025414360100,89725
30015411200000,917470
30025413400100,747695
42301323880000,948290
30025397120000,208300
30025405140000,546725
42301319470000,828800
30025413820000,950985
42109327030000,137745
30015412480000,950210
30015424570000,774915
42475367310000,501010
42109327350000,363355
30015421350000,40170
30015415810000,619385
30015414370000,849295
30025415110000,423340
30015416930000,167185
30025416270000,595745
30015429230000,720020
42301324040000,612035
30025413600000,810030
30015417970000,761350
42301323580000,474285
30025416120100,652885
30025406650000,454445
30015424490000,752555
30015421310000,411800
30025410540000,54770
30025410920000,684780
42301319490000,103660
30025423520000,278245
30015411180000,766120
30015424720000,110880
30025413640100,165260
42495336790000,404630
30025417010000,620125
30015415950000,404545
30015419350000,397810
30015421300000,116915
42301322310000,39425
30015423270000,942930
30025420600000,575725
30025421580000,90885
30015426650000,844700
30015418480000,878595
42301321960000,90580
42109325170000,586725
30015416090100,729540
30025411990000,230580
30025413320000,36245
30025412550000,597185
33053062100000,818980
33053041020000,237365
33105032470000,553365
33053049260000,370770
33053055650000,225960
33053064110000,91345
33053060940000,387210
33105035260000,870105
33025021910000,406350
33105033420200,324520
33053052620000,83810
33105034660000,728040
33105033060000,279365
33025017700000,305475
33025025730000,868435
33025025120000,791050
05123396180000,180040
33053060000000,659930
33053047700000,554585
33061026820000,616795
33105034210000,993655
33105038530000,356700
33053051400000,85610
33023009490100,994105
05123399340000,881510
49021211640000,834320
05123390280000,678555
33053054310000,462170
33025021900000,448465
05123401710000,291715
33053068480000,395625
33105030950100,651140
33061031870100,656450
05123394270000,533875
05123365250000,611600
33025026050000,816980
33053056650000,110445
33053055720000,474175
05123396010000,57360
05123379170000,652795
33105039330000,827845
33105036620000,567790
33053050500100,116850
49021215690000,119160
05123391800000,270965
05123402690000,970340
49021210540000,668515
33061027070200,726395
33053061510100,797080
05123395850000,868665
33105036710000,956160
33061028340000,223795
33061031040000,828855
33053037300100,544270
33013017250000,77780
05123387590000,482295
33061037270100,821245
33105036020000,975735
33061029600000,466695
33053058670000,540890
05123382190000,75530
33025018700000,226635
33053052760000,593330
33025022270000,742880
33013017700000,764990
49021215920000,767450
33061032020000,637510
33025027240000,164255
33053057830000,876690
33053057240000,325245
05123389580000,570275
33061029390100,121320
05123399370000,633340
33061032740000,731370
33053055440000,545785
33053063410000,503890
05123389010000,91875
33105035530000,722675
33023010620000,55235
05123384170000,267780
33105029110000,574705
05123378280000,681485
33025021460000,999355
33053060120200,505040
33025025670000,769160
33053061610000,612975
05123365180000,191370
33053061360000,334045
33053052440100,879870
33105033160100,316645
33105032210000,413685
33053056620100,559050
05123393360000,688860
33053061590000,297145
05123397980000,50350
33105031680000,721485
05123405570000,402915
05123365280000,642570
05123376410000,250395
33053053070000,571595
33023011720000,91155
33105039260000,84590
33105029760000,30950
33061024920000,71570
33007017750000,357920
33053045480100,59720
33023008670000,399450
05123380810000,708625
33053052530100,364835
33053054470000,136525
33053059030100,892825
33061028850000,820145
33061029920000,794565
33061026690000,573940
33053056730000,991760
33053057320000,942220
33105031360000,655915
33053061710100,333965
33053057340000,376595
05123390380000,438350
33053052810000,618580
33061028560000,293330
33053054150000,604270
33105035190000,109595
33061029900000,280445
33061029930000,813735
42109326960000,987765
33053055480000,625985
05123367440000,859540
33053041500100,633240
33025025860000,736725
33053051880000,519030
33053053590000,325945
33053056820000,905590
33053061670000,23055
33053046510000,524640
33025021540000,956390
05123407790000,977380
33105028320000,148305
33013017790000,815200
33105034250000,740085
05123377860000,85715
33053061940200,488120
33053059890000,377280
33053061840000,566895
30015410310000,401210
33053058160100,334790
33061029750000,843650
33053056080000,612910
33053059910000,63610
33105035410000,79945
33061026780100,167680
33105029670000,965860
30025420370000,926555
30015421340100,170880
33053059560000,488365
33105033380000,524825
30025424370000,949180
30015420780000,39030
05123395770100,482680
33025007760100,312770
42105419080000,971540
30015424900000,617945
33025021550000,792465
30015410050000,367655
05123383910000,101165
30015420710000,526985
30025409300000,892760
42389341090100,614420
30015415130000,886495
33023008920000,32370
05123400780000,194155
33061027190000,214060
33061032060000,213925
30015420090000,87300
42105419100000,632905
30025417770100,463370
33105034910000,271335
33061026530000,682785
33061028980000,398730
30025411140000,391835
30025411880000,944460
30025405370000,410370
30015420540000,715245
05123396310000,220790
33053055710000,745165
33105031380000,735920
33053065600000,801970
33053057130000,128335
30025412460000,474155
33105035850000,50790
30025414910000,572060
33053065590000,145960
33053058600000,195415
33025015800100,203940
33105033780000,791935
30025415370000,98465
30015426700000,109060
30025414350000,807525
33053054050000,501710
30025416460000,39075
42301319160000,224700
33025024070000,457215
33053054280000,333530
33061027090000,346050
33105031860000,852170
33105035770100,969490
42475365580000,871020
05123383980000,699430
30015428510000,180585
33061027930000,131495
30025414140000,464555
33061025990000,246545
30025420950000,938485
33105033450000,675250
33025020450000,73975
30025412430000,413200
30015410470000,125460
42475363880300,394910
30015413920000,518775
30015418960000,578235
30025416250100,596040
42301325560000,258630
30015416360000,578540
30025414980000,33865
30025414700100,894920
30015424320000,547780
42475365640000,705990
42301324820000,134900
30025419100000,906275
30015421110000,518725
30015423930000,292075
30025413040000,510990
30025414260000,227945
35073249010000,290635
35073248730000,702475
05123394970000,963790
35017246760000,716350
35073248620000,950285
05123386030000,968715
35011234940000,19915
35051238080000,893430
35011234960000,469555
35051238220000,196280
33025012210000,613350
05123379810100,412980
33025025440000,696680
33025021840000,297000
33105032120000,549725
33053049860000,776390
33053051710000,270065
33025021380000,394940
33105036170000,100555
35073250820000,402590
35017246930000,343295
33105034630000,599465
33053050510000,706145
33053047290000,35140
33105031340000,649015
33053043610000,969805
35073249520000,130775
05123395990000,28455
33053050720000,168185
33105031660100,507385
05123397810000,41055
33061028720000,601365
33105030720000,351410
33105033650300,233835
35051237930000,65020
33105034860000,851090
33053054390000,874440
35011234970000,618635
33105031980000,29660
33025023580000,804915
35051238760000,189590
33105035450000,653385
33025024380000,629645
05123390020000,673000
33105036190000,350120
33025024510000,733990
05123374760000,223100
05123391450000,318730
33023011730000,237255
35073251100000,220310
05123396490000,18590
05123375770000,916880
05123411610000,339975
05123385980000,513550
35073249810000,949110
05123389320000,980415
05123372560000,954865
05123391340000,272090
05123412620000,281365
05123415360000,176370
35073251210000,978815
05123391350000,338280
49021210570000,363545
49021222980000,610500
05123389820100,779400
05123387780000,491615
49021212260000,31305
35073248840000,103660
05123376270000,832230
05123386010000,221560
05123387800000,483865
05123381620000,757355
05123389130000,724870
05123349520000,201565
05123390300000,496300
35073249660000,58770
33053066390000,502325
33089008180000,195370
05123409150000,367720
05123375790000,131390
35073250320000,516095
33025019270000,903445
33105031150100,459570
